location,count,link
"stewart, florida",1,"http://localhost:4000/browse.html#stewart,%20florida"
"student newspapers and periodicals",1,"http://localhost:4000/browse.html#student%20newspapers%20and%20periodicals"
"student records",1,"http://localhost:4000/browse.html#student%20records"
"teaching",1,"http://localhost:4000/browse.html#teaching"
"tennessee",1,"http://localhost:4000/browse.html#tennessee"
"tennessee valley authority",1,"http://localhost:4000/browse.html#tennessee%20valley%20authority"
"terms of court",2,"http://localhost:4000/browse.html#terms%20of%20court"
"travel",12,"http://localhost:4000/browse.html#travel"
"union city (tenn.)",1,"http://localhost:4000/browse.html#union%20city%20(tenn.)"
"visiting teachers",1,"http://localhost:4000/browse.html#visiting%20teachers"
"washington, dc",2,"http://localhost:4000/browse.html#washington,%20dc"
"weather",6,"http://localhost:4000/browse.html#weather"
"webster county (miss.)",3,"http://localhost:4000/browse.html#webster%20county%20(miss.)"
"well-being",24,"http://localhost:4000/browse.html#well-being"
