title,date,season,document_type,abstract,mentioned_locations,keywords,disciplines,contributor,identifier,source,rights,fulltext_url,cover_image_url,update_reason,author1_fname,author1_mname,author1_lname,author1_suffix,author1_email,author1_institution,author1_is_corporate,author2_fname,author2_mname,author2_lname,author2_suffix,author2_email,author2_institution,author2_is_corporate,author3_fname,author3_mname,author3_lname,author3_suffix,author3_email,author3_institution,author3_is_corporate,author4_fname,author4_mname,author4_lname,author4_suffix,author4_email,author4_institution,author4_is_corporate,author5_fname,author5_mname,author5_lname,author5_suffix,author5_email,author5_institution,author5_is_corporate,calc_url,context_key,issue,ctmtime,format,thumb_url
"Letter from Pauline Smith to Christine Smith; September 19, 1938",1938-09-19,,letter,From the Ellard-Murphree-Pilgreen-Smith Family Papers Collection. Pauline tells Christina what she has been up to and continues to update her on family and close friends.,Calhoun County (Miss.); Pike County (Miss.); Memphis (Tenn.),Social life and customs--20th century; church; weather,,Lashawn Davidson; Emerald Potter,mcj-dp018-19380919-smith-pauline,"Box C611, folder 27","All unpublished materials are protected by copyright held by Mississippi University for Women. Permission to publish or reproduce must be requested in writing to the University Archivist. Published materials may also be protected by copyright, and the user must locate and request permission from copyright holder to publish or reproduce.",,,,Edith,Pauline,Smith,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://athenacommons.muw.edu/smithpapers/140,22577003,smithpapers,1631666228,image,https://athenacommons.muw.edu/smithpapers/1139/thumbnail.jpg
"Letter from Pauline Smith to Christine Smith; January 10, 1938",1938-01-10,,letter,"From the Ellard-Murphree-Pilgreen-Smith Family Papers Collection. Envelope from Pauline Smith to Christine Smith; January 10, 1938",Lowndes County (Miss.); Calhoun County (Miss.),Well-being; Social life and customs--20th century,,Hillary A. H. Richardson,mcj-dp018-19380110-smith-pauline,"Box C611, folder 26","All unpublished materials are protected by copyright held by Mississippi University for Women. Permission to publish or reproduce must be requested in writing to the University Archivist. Published materials may also be protected by copyright, and the user must locate and request permission from copyright holder to publish or reproduce.",,,,Edith,Pauline,Smith,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22614497,smithpapers,1631666584,image,
"Letter from Goldie to Christine Smith; January 26, 1938",1938-01-26,,letter,"From the Ellard-Murphree-Pilgreen-Smith Family Papers Collection. Letter from Goldie to Christine Smith; January 26, 1938.",Memphis (Tenn.),Social life and customs--20th century; birth; poems; education,,Nathaniel Norris-Jones,mcj-dp018-19380126-goldie,"Box C611, folder 27","All unpublished materials are protected by copyright held by Mississippi University for Women. Permission to publish or reproduce must be requested in writing to the University Archivist. Published materials may also be protected by copyright, and the user must locate and request permission from copyright holder to publish or reproduce.",,,,Goldie,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22614498,smithpapers,1631666584,image,
"Letter from Pauline Smith to Christine Smith; February 19, 1938",1938-02-19,,letter,"From the Ellard-Murphree-Pilgreen-Smith Family Papers Collection. Letter from Pauline Smith to Christine Smith; February 19, 1938.",,Social life and customs--20th century,,Nathaniel Norris-Jones,mcj-dp018-19380219-smith-pauline,"Box C611, folder 27","All unpublished materials are protected by copyright held by Mississippi University for Women. Permission to publish or reproduce must be requested in writing to the University Archivist. Published materials may also be protected by copyright, and the user must locate and request permission from copyright holder to publish or reproduce.",,,,Edith,Pauline,Smith,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22614499,smithpapers,1631666584,image,
"Letter from Pauline Smith to Christine Smith; October 18, 1938",1938-10-18,,letter,From the Ellard-Murphree-Pilgreen-Smith Family Papers Collection. Mother (Pauline) inquires how Christine is doing and gives updates on Martha specifcally. She also talks about job opportunites for Christine.,Calhoun County (Miss.); Pike County (Miss.); Memphis (Tenn.),Social life and customs--20th century; Well-being,,Lashawn Davidson; Emerald Potter,mcj-dp018-19381018-smith-pauline,"Box C611, folder 27","All unpublished materials are protected by copyright held by Mississippi University for Women. Permission to publish or reproduce must be requested in writing to the University Archivist. Published materials may also be protected by copyright, and the user must locate and request permission from copyright holder to publish or reproduce.",,,,Edith,Pauline,Smith,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22614500,smithpapers,1631666584,image,
"Letters from Pauline Smith to Christine Smith Novemeber 10, 1938",1938-11-10,,letter,From the Ellard-Murphree-Pilgreen-Smith Family Papers Collection. Pauline expresses her excitement for Christine's new opportunities. She also continues to update on friends and familly matters regarding Dad's health and about Martha.,Calhoun County (Miss.); Pike County (Miss.); Memphis (Tenn.),Social life and customs--20th century; Family relationships; Well-being,,Lashawn Davidson; Emerald Potter,mcj-dp018-19381110-smith-pauline,"Box C611, folder 27","All unpublished materials are protected by copyright held by Mississippi University for Women. Permission to publish or reproduce must be requested in writing to the University Archivist. Published materials may also be protected by copyright, and the user must locate and request permission from copyright holder to publish or reproduce.",,,,Edith,Pauline,Smith,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22614501,smithpapers,1631666584,image,
"Letter from Pauline Smith to Christine Smith; December 5, 1938",1938-12-05,,letter,"From the Ellard-Murphree-Pilgreen-Smith Family Papers Collection. Letter from Pauline Smith to Christine Smith; December 5, 1938",Calhoun County (Miss.); Pike County (Miss.); Pickwick Dam (Tenn.),Social life and customs--20th century; Travel; Church attendance; Well-being,,Lashawn Davidson; Hong Gao,mcj-dp018-19381205-smith-pauline,"Box C611, folder 27","All unpublished materials are protected by copyright held by Mississippi University for Women. Permission to publish or reproduce must be requested in writing to the University Archivist. Published materials may also be protected by copyright, and the user must locate and request permission from copyright holder to publish or reproduce.",,,,Edith,Pauline,Smith,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22614502,smithpapers,1631666584,image,
"Letters from Pauline Smith to Christine Smith December 12, 1938.",1938-12-12,,letter,From the Ellard-Murphree-Pilgreen-Smith Family Papers Collection. Pauline writes about Christine's and other's health. She also discusses other social and family matters and includes a letter from Martha.,Calhoun County (Miss.); Pike County (Miss.),Social life and customs--20th century; Well-being; Family relationships,,Lashawn Davidson; Emerald Potter,mcj-dp018-19381212-smith-pauline,"Box C611, folder 27","All unpublished materials are protected by copyright held by Mississippi University for Women. Permission to publish or reproduce must be requested in writing to the University Archivist. Published materials may also be protected by copyright, and the user must locate and request permission from copyright holder to publish or reproduce.",,,,Edith,Pauline,Smith,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22614503,smithpapers,1631666584,image,
"Letter from Pauline Smith to Christine Smith; January 10, 1938",1938-01-10,,letter,"From the Ellard-Murphree-Pilgreen-Smith Family Papers Collection. Envelope from Pauline Smith to Christine Smith; January 10, 1938",Lowndes County (Miss.); Calhoun County (Miss.),Well-being; Social life and customs--20th century,,Hillary A. H. Richardson,mcj-dp018-19380110-smith-pauline,"Box C611, folder 26","All unpublished materials are protected by copyright held by Mississippi University for Women. Permission to publish or reproduce must be requested in writing to the University Archivist. Published materials may also be protected by copyright, and the user must locate and request permission from copyright holder to publish or reproduce.",,,,Edith,Pauline,Smith,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://athenacommons.muw.edu/smithpapers/148,22653607,smithpapers,1631666988,image,https://athenacommons.muw.edu/smithpapers/1147/thumbnail.jpg
"Letter from Goldie to Christine Smith; January 26, 1938",1938-01-26,,letter,"From the Ellard-Murphree-Pilgreen-Smith Family Papers Collection. Letter from Goldie to Christine Smith; January 26, 1938.",Memphis (Tenn.),Social life and customs--20th century; birth; poems; education,,Nathaniel Norris-Jones,mcj-dp018-19380126-goldie,"Box C611, folder 27","All unpublished materials are protected by copyright held by Mississippi University for Women. Permission to publish or reproduce must be requested in writing to the University Archivist. Published materials may also be protected by copyright, and the user must locate and request permission from copyright holder to publish or reproduce.",,,,Goldie,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://athenacommons.muw.edu/smithpapers/149,22653608,smithpapers,1631666988,image,https://athenacommons.muw.edu/smithpapers/1148/thumbnail.jpg
"Letter from Pauline Smith to Christine Smith; February 19, 1938",1938-02-19,,letter,"From the Ellard-Murphree-Pilgreen-Smith Family Papers Collection. Letter from Pauline Smith to Christine Smith; February 19, 1938.",,Social life and customs--20th century,,Nathaniel Norris-Jones,mcj-dp018-19380219-smith-pauline,"Box C611, folder 27","All unpublished materials are protected by copyright held by Mississippi University for Women. Permission to publish or reproduce must be requested in writing to the University Archivist. Published materials may also be protected by copyright, and the user must locate and request permission from copyright holder to publish or reproduce.",,,,Edith,Pauline,Smith,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://athenacommons.muw.edu/smithpapers/150,22653609,smithpapers,1631666988,image,https://athenacommons.muw.edu/smithpapers/1149/thumbnail.jpg
"Letter from Pauline Smith to Christine Smith; October 18, 1938",1938-10-18,,letter,From the Ellard-Murphree-Pilgreen-Smith Family Papers Collection. Mother (Pauline) inquires how Christine is doing and gives updates on Martha specifcally. She also talks about job opportunites for Christine.,Calhoun County (Miss.); Pike County (Miss.); Memphis (Tenn.),Social life and customs--20th century; Well-being,,Lashawn Davidson; Emerald Potter,mcj-dp018-19381018-smith-martha,"Box C611, folder 27","All unpublished materials are protected by copyright held by Mississippi University for Women. Permission to publish or reproduce must be requested in writing to the University Archivist. Published materials may also be protected by copyright, and the user must locate and request permission from copyright holder to publish or reproduce.",,,,Edith,Pauline,Smith,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://athenacommons.muw.edu/smithpapers/151,22653610,smithpapers,1631666988,image,https://athenacommons.muw.edu/smithpapers/1150/thumbnail.jpg
"Letters from Pauline Smith to Christine Smith November 10, 1938",1938-11-10,,letter,From the Ellard-Murphree-Pilgreen-Smith Family Papers Collection. Pauline expresses her excitement for Christine's new opportunities. She also continues to update on friends and familly matters regarding Dad's health and about Martha.,Calhoun County (Miss.); Pike County (Miss.); Memphis (Tenn.),Social life and customs--20th century; Family relationships; Well-being,,Lashawn Davidson; Emerald Potter,mcj-dp018-19381110-smith-martha,"Box C611, folder 27","All unpublished materials are protected by copyright held by Mississippi University for Women. Permission to publish or reproduce must be requested in writing to the University Archivist. Published materials may also be protected by copyright, and the user must locate and request permission from copyright holder to publish or reproduce.",,,,Edith,Pauline,Smith,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://athenacommons.muw.edu/smithpapers/152,22653611,smithpapers,1631666988,image,https://athenacommons.muw.edu/smithpapers/1151/thumbnail.jpg
"Letter from Pauline Smith to Christine Smith; December 5, 1938",1938-12-05,,letter,"From the Ellard-Murphree-Pilgreen-Smith Family Papers Collection. Letter from Pauline Smith to Christine Smith; December 5, 1938",Calhoun County (Miss.); Pike County (Miss.); Pickwick Dam (Tenn.),Social life and customs--20th century; Travel; Church attendance; Well-being,,Lashawn Davidson; Hong Gao,mcj-dp018-19381205-smith-pauline,"Box C611, folder 27","All unpublished materials are protected by copyright held by Mississippi University for Women. Permission to publish or reproduce must be requested in writing to the University Archivist. Published materials may also be protected by copyright, and the user must locate and request permission from copyright holder to publish or reproduce.",,,,Edith,Pauline,Smith,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://athenacommons.muw.edu/smithpapers/153,22653725,smithpapers,1631666989,image,https://athenacommons.muw.edu/smithpapers/1152/thumbnail.jpg
"Letters from Pauline Smith to Christine Smith December 12, 1938.",1938-12-12,,letter,From the Ellard-Murphree-Pilgreen-Smith Family Papers Collection. Pauline writes about Christine's and other's health. She also discusses other social and family matters and includes a letter from Martha.,Calhoun County (Miss.); Pike County (Miss.),Social life and customs--20th century; Well-being; Family relationships,,Lashawn Davidson; Emerald Potter,mcj-dp018-19381212-smith-pauline,"Box C611, folder 27","All unpublished materials are protected by copyright held by Mississippi University for Women. Permission to publish or reproduce must be requested in writing to the University Archivist. Published materials may also be protected by copyright, and the user must locate and request permission from copyright holder to publish or reproduce.",,,,Edith,Pauline,Smith,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://athenacommons.muw.edu/smithpapers/154,22653726,smithpapers,1631666989,image,https://athenacommons.muw.edu/smithpapers/1153/thumbnail.jpg
