title,date,season,document_type,abstract,mentioned_locations,keywords,disciplines,contributor,identifier,source,rights,fulltext_url,cover_image_url,update_reason,author1_fname,author1_mname,author1_lname,author1_suffix,author1_email,author1_institution,author1_is_corporate,author2_fname,author2_mname,author2_lname,author2_suffix,author2_email,author2_institution,author2_is_corporate,author3_fname,author3_mname,author3_lname,author3_suffix,author3_email,author3_institution,author3_is_corporate,author4_fname,author4_mname,author4_lname,author4_suffix,author4_email,author4_institution,author4_is_corporate,author5_fname,author5_mname,author5_lname,author5_suffix,author5_email,author5_institution,author5_is_corporate,calc_url,context_key,issue,ctmtime,format,thumb_url
"Letter from Theodore Bilbo to Sam H. Smith; December 11, 1929.",1929-12-11,,letter,"From the Ellard-Murphree-Pilgreen-Smith Family Papers Collection. Letter from Theodore Bilbo to Sam H. Smith; December 11, 1929.",,Church; Charities,,Derek Webb,mcj.c611.16.001,"Box c611, Folder 16",,,,,Theodore,,Bilbo,,,"Beulah Culbertson Archives and Special Collections, Mississippi University for Women. (electronic version)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://athenacommons.muw.edu/smithpapers/6,21946231,smithpapers,1631660139,image,https://athenacommons.muw.edu/smithpapers/1005/thumbnail.jpg
"Letter from A.T. Patterson and Joe T. Patterson to Sam H. Smith; April 3, 1930.",1930-04-03,,letter,"From the Ellard-Murphree-Pilgreen-Smith Family Papers Collection. Letter from A.T. Patterson and Joe T. Patterson to Sam H. Smith; April 3, 1930.",Carroll County (Miss.); Grenada County (Miss.),Terms of court; State-local tax relations,,Rebecca Fuller,mcj.c611.16.002,"Beulah Culbertson Archives and Special Collections, Mississippi University for Women. Box c611, Folder 16.","All unpublished materials are protected by copyright held by Mississippi University for Women. Permission to publish or reproduce must be requested in writing to the University Archivist. Published materials may also be protected by copyright, and the user must locate and request permission from copyright holder to publish or reproduce.",,,,A.,T.,Patterson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://athenacommons.muw.edu/smithpapers/11,22014003,smithpapers,1631660793,image,https://athenacommons.muw.edu/smithpapers/1010/thumbnail.jpg
"Letter from Sam H. Smith; March 31, 1931.",1931-03-31,,letter,"From the Ellard-Murphree-Pilgreen-Smith Family Papers Collection. Letter from Sam H. Smith; March 31, 1931",Calhoun County (MIss.),Terms of court; State-local tax relations,,Rebecca Fuller,mcj.c611.17.001,"Beulah Culbertson Archives and Special Collections, Mississippi University for Women. Box c611, Folder 16.","All unpublished materials are protected by copyright held by Mississippi University for Women. Permission to publish or reproduce must be requested in writing to the University Archivist. Published materials may also be protected by copyright, and the user must locate and request permission from copyright holder to publish or reproduce.",,,,Sam,"H,",Smith,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://athenacommons.muw.edu/smithpapers/12,22014005,smithpapers,1631660793,image,https://github.com/SmithPapers/smithpapers.github.io/blob/main/assets/img/Letter%20from%20Sam%20H.%20Smith;%20March%2031%201931.png?raw=true
"Letter from J.R. Fewell to Sam H. Smith; April 25, 1931.",1931-04-25,,letter,"From the Ellard-Murphree-Pilgreen-Smith Family Papers Collection. Letter from J.R. Fewell to Sam H. Smith; April 25, 1931.",Calhoun County (MIss.),Report cards; Student records,,Elli Wilkinson,mcj.c611.17.002,"Beulah Culbertson Archives and Special Collections, Mississippi University for Women. Box c611, Folder 16.","All unpublished materials are protected by copyright held by Mississippi University for Women. Permission to publish or reproduce must be requested in writing to the University Archivist. Published materials may also be protected by copyright, and the user must locate and request permission from copyright holder to publish or reproduce.",,,,J.,R.,Fewell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://athenacommons.muw.edu/smithpapers/13,22014007,smithpapers,1631660793,image,https://athenacommons.muw.edu/smithpapers/1012/thumbnail.jpg
"Letter from Thomas E. Pegram to Sam H. Smith; August 28th, 1931",1931-08-28,,letter,"From the Ellard-Murphree-Pilgreen-Smith Family Papers Collection. Letter from President of Bank of Ripley To Sam Smith; August 28, 1931",Calhoun County (MIss.),Correspondence; Civil service,,Rebecca Fuller,mcj.c611.17.003,"Beulah Culbertson Archives and Special Collections, Mississippi University for Women. Box c611, Folder 16.","All unpublished materials are protected by copyright held by Mississippi University for Women. Permission to publish or reproduce must be requested in writing to the University Archivist. Published materials may also be protected by copyright, and the user must locate and request permission from copyright holder to publish or reproduce.",,,,Thomas,E.,Pegram,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://athenacommons.muw.edu/smithpapers/14,22014009,smithpapers,1631660793,image,https://athenacommons.muw.edu/smithpapers/1013/thumbnail.jpg
"Letter from Sam H. Smith to Bernice Smith; January 19, 1932",1932-01-19,,letter,"From the Ellard-Murphree-Pilgreen-Smith Family Papers Collection. Letter from Sam H. Smith to Bernice Smith; January 19, 1932",Hinds County (MIss.),Inauguration; Social life and customs--20th century,,Rebecca Fuller,mcj.c611.17.004,"Beulah Culbertson Archives and Special Collections, Mississippi University for Women. Box c611, Folder 16.","All unpublished materials are protected by copyright held by Mississippi University for Women. Permission to publish or reproduce must be requested in writing to the University Archivist. Published materials may also be protected by copyright, and the user must locate and request permission from copyright holder to publish or reproduce.",,,,Sam,H.,Smith,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://athenacommons.muw.edu/smithpapers/15,22014337,smithpapers,1631660796,image,https://athenacommons.muw.edu/smithpapers/1014/thumbnail.jpg
"Letter from Sam H. Smith to Pauline Smith; January 21, 1932",1932-01-21,,letter,"From the Ellard-Murphree-Pilgreen-Smith Family Papers Collection; Letter from Sam H. Smith to Pauline Smith; January 21, 1932",Hinds County (MIss.),Correspondence; Social life and customs--20th century,,Elli Wilkinson,mcj.c611.17.005,"Beulah Culbertson Archives and Special Collections, Mississippi University for Women. Box c611, Folder 16.","All unpublished materials are protected by copyright held by Mississippi University for Women. Permission to publish or reproduce must be requested in writing to the University Archivist. Published materials may also be protected by copyright, and the user must locate and request permission from copyright holder to publish or reproduce.",,,,Sam,H.,Smith,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://athenacommons.muw.edu/smithpapers/16,22014339,smithpapers,1631660796,image,https://athenacommons.muw.edu/smithpapers/1015/thumbnail.jpg
"Letter from Sam H. Smith to Pauline Smith; February 3, 1932",1932-02-03,,letter,"From the Ellard-Murphree-Pilgreen-Smith Family Papers Collection; Letter from Sam H. Smith to Pauline Smith; February 3, 1932",Hinds County (MIss.),Correspondence; Mississippi--Politics and government,,Hillary A. H. Richardson,mcj.c611.18.001,"Beulah Culbertson Archives and Special Collections, Mississippi University for Women. Box c611, Folder 16.","All unpublished materials are protected by copyright held by Mississippi University for Women. Permission to publish or reproduce must be requested in writing to the University Archivist. Published materials may also be protected by copyright, and the user must locate and request permission from copyright holder to publish or reproduce.",,,,Sam,H.,Smith,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://athenacommons.muw.edu/smithpapers/17,22014340,smithpapers,1631660796,image,https://athenacommons.muw.edu/smithpapers/1016/thumbnail.jpg
"Letter from Sam H. Smith to Pauline Smith; February 20,1932",1932-02-20,,letter,"From the Ellard-Murphree-Pilgreen-Smith Family Papers Collection; Letter from Sam H. Smith to Pauline Smith February 20, 1932",Hinds County (Miss.); Grenada County (Miss.),Correspondence; Mississippi--Politics and government,,Hillary A. H. Richardson,mcj.c611.18.002,"Beulah Culbertson Archives and Special Collections, Mississippi University for Women. Box c611, Folder 16.","All unpublished materials are protected by copyright held by Mississippi University for Women. Permission to publish or reproduce must be requested in writing to the University Archivist. Published materials may also be protected by copyright, and the user must locate and request permission from copyright holder to publish or reproduce.",,,,Sam,H.,Smith,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://athenacommons.muw.edu/smithpapers/18,22014342,smithpapers,1631660796,image,https://athenacommons.muw.edu/smithpapers/1017/thumbnail.jpg
"Letter from Sam H. Smith to Pauline Smith; February 29, 1932",1932-02-29,,letter,"From the Ellard-Murphree-Pilgreen-Smith Family Papers Collection; Letter from Sam H. Smith to Pauline Smith; February 29, 1932",Hinds County (Miss.),Correspondence; Mississippi--Politics and government,,Hillary A. H. Richardson,mcj.c611.18.003,"Beulah Culbertson Archives and Special Collections, Mississippi University for Women. Box c611, Folder 16.","All unpublished materials are protected by copyright held by Mississippi University for Women. Permission to publish or reproduce must be requested in writing to the University Archivist. Published materials may also be protected by copyright, and the user must locate and request permission from copyright holder to publish or reproduce.",,,,Sam,H.,Smith,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://athenacommons.muw.edu/smithpapers/19,22014344,smithpapers,1631660796,image,https://athenacommons.muw.edu/smithpapers/1018/thumbnail.jpg
"Letter from Sam H. Smith to Pauline Smith; March 4, 1932",1932-03-04,,letter,"From the Ellard-Murphree-Pilgreen-Smith Family Papers Collection; Letter from Sam H. Smith to Pauline Smith; March 4, 1932",Hinds County (Miss.),Mississippi--Politics and government; Rabies in dogs,,Whitney Baswell,mcj.c611.18.004,"Beulah Culbertson Archives and Special Collections, Mississippi University for Women. Box c611, Folder 16.","All unpublished materials are protected by copyright held by Mississippi University for Women. Permission to publish or reproduce must be requested in writing to the University Archivist. Published materials may also be protected by copyright, and the user must locate and request permission from copyright holder to publish or reproduce.",,,,Sam,H.,Smith,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://athenacommons.muw.edu/smithpapers/20,22014346,smithpapers,1631660796,image,https://athenacommons.muw.edu/smithpapers/1019/thumbnail.jpg
"Letter from Sam H. Smith to Pauline Smith; March 22, 1932",1932-03-22,,letter,From the Ellard-Murphree-Pilgreen-Smith Family Papers Collection,Hinds County (Miss.),Mississippi--Politics and government; State-local tax relations,,Hillary A. H. Richardson,mcj.c611.18.005,"Beulah Culbertson Archives and Special Collections, Mississippi University for Women. Box c611, Folder 16.","All unpublished materials are protected by copyright held by Mississippi University for Women. Permission to publish or reproduce must be requested in writing to the University Archivist. Published materials may also be protected by copyright, and the user must locate and request permission from copyright holder to publish or reproduce.",,,,Sam,H.,Smith,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://athenacommons.muw.edu/smithpapers/21,22014349,smithpapers,1631660796,image,https://athenacommons.muw.edu/smithpapers/1020/thumbnail.jpg
"Letter from Sam H. Smith to Pauline Smith; March 28, 1932",1932-03-28,,letter,From the Ellard-Murphree-Pilgreen-Smith Family Papers Collection,Hinds County (Miss.),Travel; Weather; Influenza,,Whitney Baswell,mcj.c611.18.006,"Beulah Culbertson Archives and Special Collections, Mississippi University for Women. Box c611, Folder 16.","All unpublished materials are protected by copyright held by Mississippi University for Women. Permission to publish or reproduce must be requested in writing to the University Archivist. Published materials may also be protected by copyright, and the user must locate and request permission from copyright holder to publish or reproduce.",,,,Sam,H.,Smith,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://athenacommons.muw.edu/smithpapers/22,22014350,smithpapers,1631660796,image,https://athenacommons.muw.edu/smithpapers/1021/thumbnail.jpg
"Letter from Sam H. Smith to Pauline Smith; April 13, 1932",1932-04-13,,letter,From the Ellard-Murphree-Pilgreen-Smith Family Papers Collection,Hinds County (Miss.),Prohibition--United States--History,,Hillary A. H. Richardson,mcj.c611.18.007,"Beulah Culbertson Archives and Special Collections, Mississippi University for Women. Box c611, Folder 16.","All unpublished materials are protected by copyright held by Mississippi University for Women. Permission to publish or reproduce must be requested in writing to the University Archivist. Published materials may also be protected by copyright, and the user must locate and request permission from copyright holder to publish or reproduce.",,,,Sam,H.,Smith,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://athenacommons.muw.edu/smithpapers/23,22014352,smithpapers,1631660796,image,https://athenacommons.muw.edu/smithpapers/1022/thumbnail.jpg
"Letter from Sam H. Smith to Pauline Smith; April 27, 1932",1932-04-27,,letter,From the Ellard-Murphree-Pilgreen-Smith Family Papers Collection,Hinds County (Miss.),Land-warrants; Mississippi--Politics and government,,Elli Wilkinson,mcj.c611.19.001,"Beulah Culbertson Archives and Special Collections, Mississippi University for Women. Box c611, Folder 16.","All unpublished materials are protected by copyright held by Mississippi University for Women. Permission to publish or reproduce must be requested in writing to the University Archivist. Published materials may also be protected by copyright, and the user must locate and request permission from copyright holder to publish or reproduce.",,,,Sam,H.,Smith,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://athenacommons.muw.edu/smithpapers/24,22014353,smithpapers,1631660796,image,https://athenacommons.muw.edu/smithpapers/1023/thumbnail.jpg
"Letter from Sam H. Smith to Pauline Smith; May 2, 1932",1932-05-02,,letter,From the Ellard-Murphree-Pilgreen-Smith Family Papers Collection,Hinds County (Miss.),Children; Mississippi--Politics and government,,Rebecca Fuller,mcj.c611.19.002,"Beulah Culbertson Archives and Special Collections, Mississippi University for Women. Box c611, Folder 16.","All unpublished materials are protected by copyright held by Mississippi University for Women. Permission to publish or reproduce must be requested in writing to the University Archivist. Published materials may also be protected by copyright, and the user must locate and request permission from copyright holder to publish or reproduce.",,,,Sam,H.,Smith,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://athenacommons.muw.edu/smithpapers/25,22014354,smithpapers,1631660796,image,https://athenacommons.muw.edu/smithpapers/1024/thumbnail.jpg
"Letter from Sam H. Smith to Pauline Smith; May 7, 1932",1932-05-07,,letter,From the Ellard-Murphree-Pilgreen-Smith Family Papers Collection,Hinds County (Miss.),Mississippi--Politics and government,,Elli Wilkinson,mcj.c611.19.003,"Beulah Culbertson Archives and Special Collections, Mississippi University for Women. Box c611, Folder 16.","All unpublished materials are protected by copyright held by Mississippi University for Women. Permission to publish or reproduce must be requested in writing to the University Archivist. Published materials may also be protected by copyright, and the user must locate and request permission from copyright holder to publish or reproduce.",,,,Sam,H.,Smith,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://athenacommons.muw.edu/smithpapers/26,22014355,smithpapers,1631660796,image,https://athenacommons.muw.edu/smithpapers/1025/thumbnail.jpg
"Letter from Sam H. Smith to Clarion Ledger; May 7, 1932",1932-05-07,,letter,"From the Ellard-Murphree-Pilgreen-Smith Family Papers Collection; copy of a faxed letter to the Clarion Ledger Newspaper May 7, 1932",Hinds County (Miss.); Calhoun County (Miss.),Correspondence; Mississippi--Politics and government,,Hillary A. H. Richardson,mcj.c611.19.004,"Beulah Culbertson Archives and Special Collections, Mississippi University for Women. Box c611, Folder 16.","All unpublished materials are protected by copyright held by Mississippi University for Women. Permission to publish or reproduce must be requested in writing to the University Archivist. Published materials may also be protected by copyright, and the user must locate and request permission from copyright holder to publish or reproduce.",,,,Sam,H.,Smith,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://athenacommons.muw.edu/smithpapers/27,22014357,smithpapers,1631660796,image,https://athenacommons.muw.edu/smithpapers/1026/thumbnail.jpg
"Letter from Sam H. Smith to Pauline Smith; May 12, 1932",1932-05-12,,letter,From the Ellard-Murphree-Pilgreen-Smith Family Papers Collection,Hinds County (Miss.); Calhoun County (Miss.),Correspondence; Mississippi--Politics and government,,Elli Wilkinson,mcj.c611.19.005,"Beulah Culbertson Archives and Special Collections, Mississippi University for Women. Box c611, Folder 16.","All unpublished materials are protected by copyright held by Mississippi University for Women. Permission to publish or reproduce must be requested in writing to the University Archivist. Published materials may also be protected by copyright, and the user must locate and request permission from copyright holder to publish or reproduce.",,,,Sam,H.,Smith,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://athenacommons.muw.edu/smithpapers/28,22014360,smithpapers,1631660796,image,https://athenacommons.muw.edu/smithpapers/1027/thumbnail.jpg
"Letter from Sam H. Smith to Pauline Smith; May 15, 1932",1932-05-15,,letter,From the Ellard-Murphree-Pilgreen-Smith Family Papers Collection,Hinds County (Miss.),Correspondence; Mississippi--Politics and government; State hospitals--Management,,Rebecca Fuller,mcj.c611.19.006,"Beulah Culbertson Archives and Special Collections, Mississippi University for Women. Box c611, Folder 16.","All unpublished materials are protected by copyright held by Mississippi University for Women. Permission to publish or reproduce must be requested in writing to the University Archivist. Published materials may also be protected by copyright, and the user must locate and request permission from copyright holder to publish or reproduce.",,,,Sam,H.,Smith,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://athenacommons.muw.edu/smithpapers/29,22014361,smithpapers,1631660796,image,https://athenacommons.muw.edu/smithpapers/1028/thumbnail.jpg
"Letter from Sam H. Smith to Pauline Smith; January 30, 1934",1934-01-30,,letter,From the Ellard-Murphree-Pilgreen-Smith Family Papers Collection,Hinds County (Miss.),Correspondence; Mississippi--Politics and government,,Elli Wilkinson,mcj.c611.19.007,"Beulah Culbertson Archives and Special Collections, Mississippi University for Women. Box c611, Folder 16.","All unpublished materials are protected by copyright held by Mississippi University for Women. Permission to publish or reproduce must be requested in writing to the University Archivist. Published materials may also be protected by copyright, and the user must locate and request permission from copyright holder to publish or reproduce.",,,,Sam,H.,Smith,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://athenacommons.muw.edu/smithpapers/30,22014362,smithpapers,1631660796,image,https://athenacommons.muw.edu/smithpapers/1029/thumbnail.jpg
"Letter from Sam H. Smith to Pauline Smith; February 19, 1934",1934-02-19,,letter,From the Ellard-Murphree-Pilgreen-Smith Family Papers Collection,Hinds County (Miss.),Correspondence; Weather; Well-being,,Elli Wilkinson,mcj.c611.19.008,"Beulah Culbertson Archives and Special Collections, Mississippi University for Women. Box c611, Folder 16.","All unpublished materials are protected by copyright held by Mississippi University for Women. Permission to publish or reproduce must be requested in writing to the University Archivist. Published materials may also be protected by copyright, and the user must locate and request permission from copyright holder to publish or reproduce.",,,,Sam,H.,Smith,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://athenacommons.muw.edu/smithpapers/31,22014363,smithpapers,1631660796,image,https://athenacommons.muw.edu/smithpapers/1030/thumbnail.jpg
"Letter from Sam H. Smith to Pauline Smith; February 23, 1934",1934-02-28,,letter,From the Ellard-Murphree-Pilgreen-Smith Family Papers Collection,Hinds County (Miss.),Correspondence; Weather; Well-being,,Rebecca Fuller,mcj.c611.19.009,"Beulah Culbertson Archives and Special Collections, Mississippi University for Women. Box c611, Folder 16.","All unpublished materials are protected by copyright held by Mississippi University for Women. Permission to publish or reproduce must be requested in writing to the University Archivist. Published materials may also be protected by copyright, and the user must locate and request permission from copyright holder to publish or reproduce.",,,,Sam,H.,Smith,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://athenacommons.muw.edu/smithpapers/32,22014364,smithpapers,1631660796,image,https://athenacommons.muw.edu/smithpapers/1031/thumbnail.jpg
"Letter from Bernard E. McMahon to Christine Smith; November 13, 1934",1934-11-13,,letter,From the Ellard-Murphree-Pilgreen-Smith Family Papers Collection,St. Louis County (Mo.),Correspondence; Well-being; Circus,,Elli Wilkinson,mcj.c611.20.001,"Beulah Culbertson Archives and Special Collections, Mississippi University for Women. Box c611, Folder 16.","All unpublished materials are protected by copyright held by Mississippi University for Women. Permission to publish or reproduce must be requested in writing to the University Archivist. Published materials may also be protected by copyright, and the user must locate and request permission from copyright holder to publish or reproduce.",,,,Bernard,E.,McMahon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://athenacommons.muw.edu/smithpapers/33,22014368,smithpapers,1631660796,image,https://athenacommons.muw.edu/smithpapers/1032/thumbnail.jpg
"Letter from Bernard E. McMahon to Christine Smith; January 14, 1935",1935-01-14,,letter,From the Ellard-Murphree-Pilgreen-Smith Family Papers Collection,St. Louis County (Mo.),Correspondence; Family relationships,,Elli Wilkinson,mcj.c611.23.001,"Beulah Culbertson Archives and Special Collections, Mississippi University for Women. Box c611, Folder 16.","All unpublished materials are protected by copyright held by Mississippi University for Women. Permission to publish or reproduce must be requested in writing to the University Archivist. Published materials may also be protected by copyright, and the user must locate and request permission from copyright holder to publish or reproduce.",,,,Bernard,E.,McMahon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://athenacommons.muw.edu/smithpapers/34,22014369,smithpapers,1631660796,image,https://athenacommons.muw.edu/smithpapers/1033/thumbnail.jpg
"Letter from Sam H. Smith to Theodore Bilbo; July 5, 1935",1935-07-05,,letter,"From the Ellard-Murphree-Pilgreen-Smith Family Papers Collection; Letter to Senator Bilbo, Theodore Gilmore, 1877-1947 from Sam H. Smith; July 5, 1935","Calhoun County (Miss.); Washington, DC; Alecandria County",Local elections; Mississippi--Politics and government,,Hillary A. H. Richardson,mcj.c611.23.002,"Beulah Culbertson Archives and Special Collections, Mississippi University for Women. Box c611, Folder 16.","All unpublished materials are protected by copyright held by Mississippi University for Women. Permission to publish or reproduce must be requested in writing to the University Archivist. Published materials may also be protected by copyright, and the user must locate and request permission from copyright holder to publish or reproduce.",,,,Sam,H.,Smith,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://athenacommons.muw.edu/smithpapers/35,22014370,smithpapers,1631660796,image,https://athenacommons.muw.edu/smithpapers/1034/thumbnail.jpg
"Letter from Theodore Bilbo to Sam H. Smith; July 13, 1935",1935-07-13,,letter,From the Ellard-Murphree-Pilgreen-Smith Family Papers Collection,"Calhoun County (Miss.); Washington, DC; Alecandria County",Local elections; Mississippi--Politics and government,,Hillary A. H. Richardson,mcj.c611.23.003,"Beulah Culbertson Archives and Special Collections, Mississippi University for Women. Box c611, Folder 16.","All unpublished materials are protected by copyright held by Mississippi University for Women. Permission to publish or reproduce must be requested in writing to the University Archivist. Published materials may also be protected by copyright, and the user must locate and request permission from copyright holder to publish or reproduce.",,,,Theodore,,Bilbo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://athenacommons.muw.edu/smithpapers/36,22014371,smithpapers,1631660796,image,https://athenacommons.muw.edu/smithpapers/1035/thumbnail.jpg
"Letter from Sam E. Smith to Pauline Smith; November 2, 1935",1935-11-02,,letter,From the Ellard-Murphree-Pilgreen-Smith Family Papers Collection,Hinds County (Miss.),Crops; Mississippi--Politics and government,,Hillary A. H. Richardson,mcj.c611.23.004,"Beulah Culbertson Archives and Special Collections, Mississippi University for Women. Box c611, Folder 16.","All unpublished materials are protected by copyright held by Mississippi University for Women. Permission to publish or reproduce must be requested in writing to the University Archivist. Published materials may also be protected by copyright, and the user must locate and request permission from copyright holder to publish or reproduce.",,,,Sam,E.,Smith,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://athenacommons.muw.edu/smithpapers/37,22014373,smithpapers,1631660796,image,https://athenacommons.muw.edu/smithpapers/1036/thumbnail.jpg
Letter from Sam H. Smith to Pauline Smith; 1935,1935-01-01,,letter,From the Ellard-Murphree-Pilgreen-Smith Family Papers Collection,Hinds County (Miss.),"Mississippi--Politics and government; Home economics, Rural",,Hillary A. H. Richardson,mcj.c611.23.005,"Beulah Culbertson Archives and Special Collections, Mississippi University for Women. Box c611, Folder 16.","All unpublished materials are protected by copyright held by Mississippi University for Women. Permission to publish or reproduce must be requested in writing to the University Archivist. Published materials may also be protected by copyright, and the user must locate and request permission from copyright holder to publish or reproduce.",,,,Sam,H.,Smith,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://athenacommons.muw.edu/smithpapers/38,22014374,smithpapers,1631660796,image,https://athenacommons.muw.edu/smithpapers/1037/thumbnail.jpg
"Letter from George R. Nobles to Hugh L. White; April 10, 1936",1936-04-10,,letter,From the Ellard-Murphree-Pilgreen-Smith Family Papers Collection,Hinds County (Miss.),Mississippi--Politics and government; Gasoline--Taxation; Endorsements,,Whitney Baswell,mcj.c611.23.006,"Beulah Culbertson Archives and Special Collections, Mississippi University for Women. Box c611, Folder 16.","All unpublished materials are protected by copyright held by Mississippi University for Women. Permission to publish or reproduce must be requested in writing to the University Archivist. Published materials may also be protected by copyright, and the user must locate and request permission from copyright holder to publish or reproduce.",,,,George,R.,Nobles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://athenacommons.muw.edu/smithpapers/39,22014375,smithpapers,1631660796,image,https://athenacommons.muw.edu/smithpapers/1038/thumbnail.jpg
"Letter from Garland Lyell to Hugh L. White; April 10, 1936",1936-04-10,,letter,From the Ellard-Murphree-Pilgreen-Smith Family Papers Collection,Hinds County (Miss.),Mississippi--Politics and government; Gasoline--Taxation; Endorsements,,Whitney Baswell,mcj.c611.23.007,"Beulah Culbertson Archives and Special Collections, Mississippi University for Women. Box c611, Folder 16.","All unpublished materials are protected by copyright held by Mississippi University for Women. Permission to publish or reproduce must be requested in writing to the University Archivist. Published materials may also be protected by copyright, and the user must locate and request permission from copyright holder to publish or reproduce.",,,,Garland,,Lyell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://athenacommons.muw.edu/smithpapers/40,22014376,smithpapers,1631660796,image,https://athenacommons.muw.edu/smithpapers/1039/thumbnail.jpg
"Letter from John H. Culkin to Hugh L. White; April 11, 1936",1936-04-11,,letter,From the Ellard-Murphree-Pilgreen-Smith Family Papers Collection,Hinds County (Miss.),Mississippi--Politics and government; Gasoline--Taxation; Endorsements,,Whitney Baswell,mcj.c611.23.008,"Beulah Culbertson Archives and Special Collections, Mississippi University for Women. Box c611, Folder 16.","All unpublished materials are protected by copyright held by Mississippi University for Women. Permission to publish or reproduce must be requested in writing to the University Archivist. Published materials may also be protected by copyright, and the user must locate and request permission from copyright holder to publish or reproduce.",,,,John,H.,Culkin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://athenacommons.muw.edu/smithpapers/41,22014377,smithpapers,1631660796,image,https://athenacommons.muw.edu/smithpapers/1040/thumbnail.jpg
"Letter from John H. Culkin to Howard Dyer; April 21, 1936",1936-04-21,,letter,From the Ellard-Murphree-Pilgreen-Smith Family Papers Collection,Hinds County (Miss.),Mississippi--Politics and government; Endorsements,,Whitney Baswell,mcj.c611.23.009,"Beulah Culbertson Archives and Special Collections, Mississippi University for Women. Box c611, Folder 16.","All unpublished materials are protected by copyright held by Mississippi University for Women. Permission to publish or reproduce must be requested in writing to the University Archivist. Published materials may also be protected by copyright, and the user must locate and request permission from copyright holder to publish or reproduce.",,,,John,H.,Culkin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://athenacommons.muw.edu/smithpapers/42,22014378,smithpapers,1631660796,image,https://athenacommons.muw.edu/smithpapers/1041/thumbnail.jpg
"Letter from Theodore G. Bilbo to Dennis Murphree; June 10, 1936",1936-06-10,,letter,From the Ellard-Murphree-Pilgreen-Smith Family Papers Collection,Hinds County (Miss.),Mississippi--Politics and government; Selection and appointment,,Whitney Baswell,mcj.c611.23.010,"Beulah Culbertson Archives and Special Collections, Mississippi University for Women. Box c611, Folder 16.","All unpublished materials are protected by copyright held by Mississippi University for Women. Permission to publish or reproduce must be requested in writing to the University Archivist. Published materials may also be protected by copyright, and the user must locate and request permission from copyright holder to publish or reproduce.",,,,Theodore,G.,Bilbo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://athenacommons.muw.edu/smithpapers/43,22014380,smithpapers,1631660796,image,https://athenacommons.muw.edu/smithpapers/1042/thumbnail.jpg
"Letter from Dennis Murphree to John L. Taylor; August 11, 1936",1936-08-11,,letter,From the Ellard-Murphree-Pilgreen-Smith Family Papers Collection,Hinds County (Miss.),Mississippi--Politics and government; Selection and appointment,,Whitney Baswell,mcj.c611.23.011,"Beulah Culbertson Archives and Special Collections, Mississippi University for Women. Box c611, Folder 16.","All unpublished materials are protected by copyright held by Mississippi University for Women. Permission to publish or reproduce must be requested in writing to the University Archivist. Published materials may also be protected by copyright, and the user must locate and request permission from copyright holder to publish or reproduce.",,,,Dennis,,Murphree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://athenacommons.muw.edu/smithpapers/44,22014384,smithpapers,1631660796,image,https://athenacommons.muw.edu/smithpapers/1043/thumbnail.jpg
